Level_1,Level_2,Level_3,Level_4,Level_5,Level_6,Level_7
Technology,AI,Deep Learning,Neural Networks,Convolutional,,
Business,Management,Strategy,Corporate Strategy,Divestiture,,
Health,Medicine,Surgery,Cardiac,Bypass,,
Technology,Software,Testing,Automated Testing,Integration Testing,,
Business,Economics,Microeconomics,Business,SME,,
Health,Medicine,General Practice,Pediatrics,Neonatal,,
Business,Management,HR,Training,Onboarding,,
Health,Fitness,Gym,Weight Training,Bodybuilding,,
Business,Economics,Macroeconomics,National,State,,
Technology,AI,Machine Learning,Unsupervised,Association,,
Business,Finance,Insurance,Life Insurance,Whole Life,,
Business,Finance,Investment,Bonds,Corporate Bonds,,
Business,Management,Strategy,Business Strategy,Sustainability,,
Technology,Hardware,Computing,PCs,Laptops,,
Technology,AI,Machine Learning,Unsupervised,Association,,
Technology,AI,Deep Learning,Neural Networks,Recurrent,,
Business,Economics,Macroeconomics,Global,Emerging,,
Business,Economics,Microeconomics,Individual,Labor,,
Business,Economics,Macroeconomics,National,Federal,,
Health,Medicine,Surgery,Orthopedic,Joint Replacement,,
Business,Finance,Insurance,Life Insurance,Term Life,,
Health,Nutrition,Supplements,Proteins,Whey,,
Health,Fitness,Yoga,Vinyasa,Power Yoga,,
Technology,Software,Testing,Automated Testing,Unit Testing,,
Health,Nutrition,Diet,Vegan,Processed,,
Business,Management,Strategy,Corporate Strategy,Divestiture,,
Health,Nutrition,Diet,Keto,Standard,,
Health,Fitness,Gym,Cardio,Running,,
Health,Nutrition,Supplements,Proteins,Whey,,
Technology,Software,Development,Backend,Flask,,
Business,Management,Operations,Logistics,Inbound,,
Business,Economics,Microeconomics,Business,Enterprise,,
Health,Nutrition,Diet,Vegan,Processed,,
Technology,AI,Machine Learning,Unsupervised,Association,,
Business,Economics,Macroeconomics,Global,Emerging,,
Health,Fitness,Gym,Weight Training,Powerlifting,,
Business,Finance,Banking,Corporate Banking,SMEs,,
Technology,AI,Machine Learning,Supervised,Regression,,
Health,Fitness,Yoga,Hatha,Pranayama,,
Business,Finance,Investment,Stocks,Penny Stocks,,
Technology,AI,Deep Learning,Neural Networks,Recurrent,,
Business,Finance,Insurance,Life Insurance,Whole Life,,
Business,Economics,Macroeconomics,National,State,,
Business,Management,Operations,Logistics,Inbound,,
Business,Management,Strategy,Business Strategy,Growth,,
Technology,Software,Development,Frontend,Angular,,
Technology,Hardware,Computing,PCs,Laptops,,
Business,Management,Operations,Supply Chain,Distribution,,
Technology,Hardware,Networking,WAN,Internet,,
Health,Fitness,Gym,Cardio,Cycling,,
Health,Nutrition,Supplements,Proteins,Casein,,
Health,Nutrition,Supplements,Vitamins,B,,
Technology,AI,Machine Learning,Unsupervised,Association,,
Business,Finance,Banking,Corporate Banking,Large Corporations,,
Health,Nutrition,Diet,Vegan,Processed,,
Technology,Hardware,Networking,WAN,Intranet,,
Business,Management,HR,Recruitment,Internal,,
Business,Finance,Investment,Stocks,Equity,,
Business,Management,Strategy,Corporate Strategy,M&A,,
Technology,Hardware,Networking,WAN,Intranet,,
Business,Management,HR,Training,Onboarding,,
Health,Nutrition,Diet,Vegan,Processed,,
Technology,AI,Deep Learning,Neural Networks,Recurrent,,
Business,Economics,Microeconomics,Individual,Consumer,,
Technology,AI,Machine Learning,Supervised,Classification,,
Business,Finance,Banking,Corporate Banking,SMEs,,
Technology,AI,Deep Learning,Deep Reinforcement Learning,Policy Gradient,,
Business,Management,Strategy,Corporate Strategy,M&A,,
Business,Management,HR,Recruitment,Internal,,
Technology,Software,Development,Backend,Django,,
Business,Management,HR,Training,Development,,
Business,Finance,Insurance,Life Insurance,Whole Life,,
Business,Economics,Microeconomics,Business,Enterprise,,
Business,Economics,Microeconomics,Individual,Labor,,
Technology,Hardware,Computing,PCs,Desktops,,
Health,Fitness,Yoga,Hatha,Pranayama,,
Health,Fitness,Yoga,Vinyasa,Power Yoga,,
Technology,Hardware,Computing,PCs,Desktops,,
Business,Management,Operations,Supply Chain,Procurement,,
Health,Nutrition,Diet,Keto,Cyclical,,
Health,Fitness,Gym,Weight Training,Bodybuilding,,
Technology,Software,Testing,Manual Testing,White Box,,
Health,Medicine,Surgery,Cardiac,Bypass,,
Business,Economics,Microeconomics,Individual,Labor,,
Technology,Hardware,Networking,WAN,Intranet,,
Business,Economics,Microeconomics,Business,Enterprise,,
Technology,Software,Development,Frontend,Angular,,
Technology,Software,Testing,Automated Testing,Integration Testing,,
Technology,Software,Testing,Manual Testing,White Box,,
Health,Medicine,General Practice,Geriatrics,Chronic Disease,,
Health,Fitness,Yoga,Hatha,Pranayama,,
Health,Medicine,General Practice,Pediatrics,Neonatal,,
Technology,AI,Machine Learning,Unsupervised,Association,,
Health,Fitness,Gym,Cardio,Cycling,,
Business,Economics,Macroeconomics,National,State,,
Business,Finance,Banking,Corporate Banking,Large Corporations,,
Health,Fitness,Yoga,Hatha,Pranayama,,
Health,Fitness,Yoga,Vinyasa,Flow,,
Business,Management,HR,Training,Onboarding,,
Health,Fitness,Yoga,Hatha,Pranayama,,
